Longitude,Latitude,Height,Roll,Pitch,Yaw
-79.61450000000001,43.68181867776985,1502.672897176517,0.07794090125965801,0.2,0
-79.61450000000001,43.68182253695851,1502.75981500874,0.08075174225628388,0.2,0
-79.61450000000001,43.6818264578942,1502.848123526278,0.08361258325290975,0.2,0
-79.61450000000001,43.6818304405769,1502.937822729132,0.08652342424953563,0.2,0
-79.61450000000001,43.68183448500662,1503.028912617302,0.0894842652461615,0.2,0
-79.61450000000001,43.68183859118336,1503.121393190787,0.09249510624278737,0.2,0
-79.61450000000001,43.68184275910712,1503.215264449587,0.09555594723941324,0.2,0
-79.61450000000001,43.68184698877789,1503.310526393703,0.09866678823603911,0.2,0
-79.61450000000001,43.68185128019569,1503.407179023135,0.101827629232665,0.2,0
-79.61450000000001,43.68185563336051,1503.505222337883,0.1050384702292908,0.2,0
