t,u,v,w,VT,phi,theta,psi,XE,YE,ZE,elevR,elevL,flapR,flapL,canard,rudder,alpha,beta
6.331,932.510,93.576,73.627,940.081,0.265,0.036,0.029,5920.491,329.810,-20440.348,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.341,932.510,93.578,73.639,940.082,0.265,0.036,0.029,5929.820,330.794,-20440.964,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.351,932.510,93.580,73.651,940.083,0.265,0.036,0.029,5939.149,331.778,-20441.581,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.361,932.510,93.582,73.663,940.084,0.265,0.036,0.029,5948.478,332.763,-20442.197,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.371,932.510,93.584,73.675,940.086,0.264,0.036,0.029,5957.806,333.747,-20442.814,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.381,932.510,93.586,73.687,940.087,0.264,0.036,0.029,5967.135,334.732,-20443.430,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.391,932.510,93.588,73.699,940.088,0.264,0.036,0.029,5976.464,335.717,-20444.047,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.401,932.510,93.590,73.711,940.089,0.264,0.036,0.029,5985.793,336.702,-20444.663,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.411,932.510,93.591,73.723,940.090,0.264,0.036,0.029,5995.122,337.686,-20445.280,0.000,0.037,-0.401,-0.295,0.327,0.410,0.046,0.100
6.421,932.510,93.593,73.735,940.091,0.264,0.036,0.029,6004.450,338.671,-20445.897,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.431,932.510,93.595,73.747,940.092,0.264,0.036,0.029,6013.779,339.656,-20446.514,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.441,932.510,93.597,73.758,940.093,0.264,0.036,0.029,6023.108,340.642,-20447.130,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.451,932.510,93.598,73.770,940.094,0.264,0.036,0.029,6032.437,341.627,-20447.747,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.461,932.510,93.600,73.782,940.095,0.264,0.036,0.029,6041.766,342.612,-20448.364,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.471,932.510,93.602,73.793,940.097,0.264,0.036,0.029,6051.094,343.598,-20448.981,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.481,932.510,93.603,73.804,940.098,0.263,0.036,0.029,6060.423,344.583,-20449.597,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.491,932.510,93.605,73.816,940.099,0.263,0.036,0.029,6069.752,345.569,-20450.214,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.501,932.510,93.607,73.827,940.100,0.263,0.036,0.029,6079.081,346.554,-20450.831,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.511,932.510,93.608,73.838,940.101,0.263,0.036,0.029,6088.410,347.540,-20451.448,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.521,932.510,93.610,73.849,940.102,0.263,0.036,0.029,6097.739,348.526,-20452.065,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.531,932.510,93.611,73.860,940.103,0.263,0.036,0.029,6107.067,349.512,-20452.682,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.541,932.510,93.613,73.871,940.104,0.263,0.036,0.029,6116.396,350.498,-20453.298,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.551,932.510,93.614,73.882,940.105,0.263,0.036,0.029,6125.725,351.484,-20453.915,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.561,932.510,93.616,73.893,940.106,0.263,0.036,0.029,6135.054,352.470,-20454.532,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.571,932.510,93.617,73.904,940.107,0.263,0.036,0.029,6144.383,353.456,-20455.149,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.581,932.510,93.619,73.915,940.108,0.263,0.036,0.029,6153.711,354.443,-20455.766,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.591,932.510,93.620,73.925,940.109,0.263,0.036,0.029,6163.040,355.429,-20456.383,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.601,932.510,93.622,73.936,940.110,0.262,0.036,0.029,6172.369,356.416,-20457.000,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.611,932.510,93.623,73.946,940.111,0.262,0.036,0.029,6181.698,357.402,-20457.617,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.621,932.510,93.624,73.957,940.112,0.262,0.036,0.029,6191.027,358.389,-20458.233,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.631,932.510,93.626,73.967,940.113,0.262,0.036,0.029,6200.356,359.376,-20458.850,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.641,932.510,93.627,73.977,940.113,0.262,0.036,0.029,6209.684,360.362,-20459.467,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.651,932.510,93.628,73.987,940.114,0.262,0.036,0.029,6219.013,361.349,-20460.084,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.661,932.510,93.630,73.997,940.115,0.262,0.036,0.029,6228.342,362.336,-20460.701,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.671,932.510,93.631,74.007,940.116,0.262,0.036,0.029,6237.671,363.323,-20461.318,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.681,932.510,93.632,74.017,940.117,0.262,0.036,0.029,6247.000,364.311,-20461.935,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.691,932.510,93.634,74.027,940.118,0.262,0.036,0.029,6256.329,365.298,-20462.551,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.701,932.510,93.635,74.037,940.119,0.262,0.036,0.029,6265.657,366.285,-20463.168,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.711,932.510,93.636,74.046,940.120,0.262,0.036,0.029,6274.986,367.273,-20463.785,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.721,932.510,93.637,74.056,940.121,0.262,0.036,0.029,6284.315,368.260,-20464.402,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.731,932.510,93.639,74.065,940.122,0.261,0.036,0.029,6293.644,369.248,-20465.018,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.741,932.510,93.640,74.075,940.122,0.261,0.036,0.029,6302.973,370.235,-20465.635,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.751,932.510,93.641,74.084,940.123,0.261,0.036,0.029,6312.302,371.223,-20466.252,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.761,932.510,93.642,74.093,940.124,0.261,0.037,0.029,6321.630,372.211,-20466.869,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.771,932.510,93.643,74.102,940.125,0.261,0.037,0.029,6330.959,373.199,-20467.485,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.781,932.510,93.644,74.111,940.126,0.261,0.037,0.029,6340.288,374.187,-20468.102,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.791,932.510,93.645,74.120,940.127,0.261,0.037,0.029,6349.617,375.175,-20468.719,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.801,932.510,93.647,74.129,940.127,0.261,0.037,0.029,6358.946,376.163,-20469.335,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.811,932.510,93.648,74.138,940.128,0.261,0.037,0.029,6368.275,377.151,-20469.952,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.821,932.510,93.649,74.147,940.129,0.261,0.037,0.029,6377.603,378.139,-20470.568,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.831,932.510,93.650,74.155,940.130,0.261,0.037,0.029,6386.932,379.127,-20471.185,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.841,932.510,93.651,74.164,940.131,0.261,0.037,0.029,6396.261,380.116,-20471.801,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.851,932.510,93.652,74.172,940.131,0.261,0.037,0.029,6405.590,381.104,-20472.418,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.861,932.510,93.653,74.180,940.132,0.261,0.037,0.029,6414.919,382.093,-20473.034,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.871,932.510,93.654,74.189,940.133,0.260,0.037,0.029,6424.248,383.082,-20473.651,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.881,932.510,93.655,74.197,940.134,0.260,0.037,0.029,6433.577,384.070,-20474.267,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.891,932.510,93.656,74.205,940.134,0.260,0.037,0.029,6442.905,385.059,-20474.884,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.901,932.510,93.657,74.213,940.135,0.260,0.037,0.029,6452.234,386.048,-20475.500,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.911,932.510,93.658,74.221,940.136,0.260,0.037,0.029,6461.563,387.037,-20476.116,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.921,932.510,93.659,74.228,940.136,0.260,0.037,0.029,6470.892,388.026,-20476.732,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.931,932.510,93.660,74.236,940.137,0.260,0.037,0.029,6480.221,389.015,-20477.349,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.941,932.510,93.660,74.244,940.138,0.260,0.037,0.029,6489.550,390.004,-20477.965,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.951,932.510,93.661,74.251,940.138,0.260,0.037,0.029,6498.879,390.993,-20478.581,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.961,932.510,93.662,74.259,940.139,0.260,0.037,0.029,6508.208,391.983,-20479.197,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.971,932.510,93.663,74.266,940.140,0.260,0.037,0.029,6517.536,392.972,-20479.813,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.981,932.510,93.664,74.273,940.140,0.260,0.037,0.029,6526.865,393.962,-20480.429,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
6.991,932.510,93.665,74.280,940.141,0.260,0.037,0.029,6536.194,394.951,-20481.045,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.001,932.510,93.666,74.287,940.142,0.260,0.037,0.029,6545.523,395.941,-20481.661,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.011,932.510,93.667,74.294,940.142,0.260,0.037,0.029,6554.852,396.931,-20482.277,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.021,932.510,93.667,74.301,940.143,0.259,0.037,0.029,6564.181,397.920,-20482.893,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.031,932.510,93.668,74.308,940.144,0.259,0.037,0.029,6573.510,398.910,-20483.509,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.041,932.510,93.669,74.315,940.144,0.259,0.037,0.029,6582.839,399.900,-20484.124,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.051,932.510,93.670,74.321,940.145,0.259,0.037,0.029,6592.167,400.890,-20484.740,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.061,932.510,93.671,74.328,940.145,0.259,0.037,0.029,6601.496,401.880,-20485.356,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.071,932.510,93.671,74.334,940.146,0.259,0.037,0.029,6610.825,402.870,-20485.971,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.081,932.510,93.672,74.340,940.147,0.259,0.037,0.029,6620.154,403.860,-20486.587,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.091,932.510,93.673,74.347,940.147,0.259,0.037,0.029,6629.483,404.851,-20487.202,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.101,932.510,93.674,74.353,940.148,0.259,0.037,0.029,6638.812,405.841,-20487.818,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.111,932.510,93.674,74.359,940.148,0.259,0.037,0.029,6648.141,406.831,-20488.433,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.121,932.510,93.675,74.365,940.149,0.259,0.037,0.029,6657.470,407.822,-20489.049,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.131,932.510,93.676,74.371,940.149,0.259,0.037,0.029,6666.799,408.813,-20489.664,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.141,932.510,93.676,74.376,940.150,0.259,0.037,0.029,6676.127,409.803,-20490.279,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.151,932.510,93.677,74.382,940.150,0.259,0.037,0.029,6685.456,410.794,-20490.894,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.161,932.510,93.678,74.388,940.151,0.259,0.037,0.029,6694.785,411.785,-20491.510,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.171,932.510,93.679,74.393,940.151,0.259,0.037,0.029,6704.114,412.775,-20492.125,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.181,932.510,93.679,74.399,940.152,0.259,0.037,0.029,6713.443,413.766,-20492.740,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.191,932.510,93.680,74.404,940.152,0.259,0.037,0.029,6722.772,414.757,-20493.355,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.201,932.510,93.681,74.409,940.153,0.258,0.037,0.029,6732.101,415.748,-20493.970,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.211,932.510,93.681,74.414,940.153,0.258,0.037,0.029,6741.430,416.740,-20494.585,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.221,932.510,93.682,74.419,940.154,0.258,0.037,0.029,6750.759,417.731,-20495.199,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.231,932.510,93.682,74.424,940.154,0.258,0.037,0.030,6760.088,418.722,-20495.814,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.241,932.510,93.683,74.429,940.155,0.258,0.037,0.030,6769.416,419.713,-20496.429,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.251,932.510,93.684,74.434,940.155,0.258,0.037,0.030,6778.745,420.705,-20497.044,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.261,932.510,93.684,74.439,940.156,0.258,0.037,0.030,6788.074,421.696,-20497.658,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.271,932.510,93.685,74.443,940.156,0.258,0.037,0.030,6797.403,422.688,-20498.273,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.281,932.510,93.685,74.448,940.156,0.258,0.037,0.030,6806.732,423.679,-20498.887,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.291,932.510,93.686,74.452,940.157,0.258,0.037,0.030,6816.061,424.671,-20499.502,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.301,932.510,93.687,74.457,940.157,0.258,0.037,0.030,6825.390,425.663,-20500.116,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.311,932.510,93.687,74.461,940.158,0.258,0.037,0.030,6834.719,426.654,-20500.730,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.321,932.510,93.688,74.465,940.158,0.258,0.037,0.030,6844.048,427.646,-20501.345,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.331,932.510,93.688,74.470,940.158,0.258,0.037,0.030,6853.377,428.638,-20501.959,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.341,932.510,93.689,74.474,940.159,0.258,0.037,0.030,6862.706,429.630,-20502.573,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.351,932.510,93.689,74.478,940.159,0.258,0.037,0.030,6872.034,430.622,-20503.187,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.361,932.510,93.690,74.481,940.160,0.258,0.037,0.030,6881.363,431.614,-20503.801,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.371,932.510,93.690,74.485,940.160,0.258,0.037,0.030,6890.692,432.607,-20504.415,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.381,932.510,93.691,74.489,940.160,0.258,0.037,0.030,6900.021,433.599,-20505.029,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.391,932.510,93.692,74.493,940.161,0.258,0.037,0.030,6909.350,434.591,-20505.643,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.401,932.510,93.692,74.496,940.161,0.257,0.037,0.030,6918.679,435.583,-20506.256,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.411,932.510,93.693,74.500,940.161,0.257,0.037,0.030,6928.008,436.576,-20506.870,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.421,932.510,93.693,74.503,940.162,0.257,0.037,0.030,6937.337,437.568,-20507.484,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.431,932.510,93.694,74.506,940.162,0.257,0.037,0.030,6946.666,438.561,-20508.097,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.441,932.510,93.694,74.510,940.162,0.257,0.037,0.030,6955.995,439.554,-20508.711,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.451,932.510,93.694,74.513,940.162,0.257,0.037,0.030,6965.324,440.546,-20509.324,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.461,932.510,93.695,74.516,940.163,0.257,0.037,0.030,6974.653,441.539,-20509.938,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.471,932.510,93.695,74.519,940.163,0.257,0.037,0.030,6983.981,442.532,-20510.551,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.481,932.510,93.696,74.522,940.163,0.257,0.037,0.030,6993.310,443.525,-20511.164,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.491,932.510,93.696,74.525,940.164,0.257,0.037,0.030,7002.639,444.518,-20511.777,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.501,932.510,93.697,74.527,940.164,0.257,0.037,0.030,7011.968,445.511,-20512.391,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.511,932.510,93.697,74.530,940.164,0.257,0.037,0.030,7021.297,446.504,-20513.004,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.521,932.510,93.698,74.533,940.164,0.257,0.037,0.030,7030.626,447.497,-20513.617,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.531,932.510,93.698,74.535,940.165,0.257,0.037,0.030,7039.955,448.490,-20514.230,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.541,932.510,93.699,74.538,940.165,0.257,0.037,0.030,7049.284,449.483,-20514.842,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.551,932.510,93.699,74.540,940.165,0.257,0.037,0.030,7058.613,450.476,-20515.455,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.561,932.510,93.699,74.543,940.165,0.257,0.037,0.030,7067.942,451.470,-20516.068,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.571,932.510,93.700,74.545,940.166,0.257,0.037,0.030,7077.271,452.463,-20516.681,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.581,932.510,93.700,74.547,940.166,0.257,0.037,0.030,7086.600,453.457,-20517.293,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.591,932.510,93.701,74.549,940.166,0.257,0.037,0.030,7095.929,454.450,-20517.906,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.601,932.510,93.701,74.551,940.166,0.257,0.037,0.030,7105.258,455.444,-20518.518,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.611,932.510,93.701,74.553,940.166,0.257,0.037,0.030,7114.586,456.437,-20519.131,0.000,0.037,-0.401,-0.295,0.327,0.410,0.047,0.100
7.621,932.510,93.702,74.555,940.167,0.257,0.037,0.030,7123.915,457.431,-20519.743,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.631,932.510,93.702,74.557,940.167,0.256,0.037,0.030,7133.244,458.425,-20520.355,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.641,932.510,93.703,74.559,940.167,0.256,0.037,0.030,7142.573,459.419,-20520.967,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.651,932.510,93.703,74.560,940.167,0.256,0.037,0.030,7151.902,460.413,-20521.579,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.661,932.510,93.703,74.562,940.167,0.256,0.037,0.030,7161.231,461.406,-20522.191,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.671,932.510,93.704,74.564,940.167,0.256,0.037,0.030,7170.560,462.400,-20522.803,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.681,932.510,93.704,74.565,940.168,0.256,0.037,0.030,7179.889,463.394,-20523.415,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.691,932.510,93.704,74.567,940.168,0.256,0.037,0.030,7189.218,464.389,-20524.027,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.701,932.510,93.705,74.568,940.168,0.256,0.037,0.030,7198.547,465.383,-20524.639,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.711,932.510,93.705,74.569,940.168,0.256,0.037,0.030,7207.876,466.377,-20525.251,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.721,932.510,93.706,74.571,940.168,0.256,0.037,0.030,7217.205,467.371,-20525.862,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.731,932.510,93.706,74.572,940.168,0.256,0.037,0.030,7226.534,468.365,-20526.474,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.741,932.510,93.706,74.573,940.168,0.256,0.037,0.030,7235.863,469.360,-20527.086,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.751,932.510,93.707,74.574,940.169,0.256,0.037,0.030,7245.192,470.354,-20527.697,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.761,932.510,93.707,74.575,940.169,0.256,0.037,0.030,7254.520,471.349,-20528.308,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.771,932.510,93.707,74.576,940.169,0.256,0.037,0.030,7263.849,472.343,-20528.920,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.781,932.510,93.708,74.577,940.169,0.256,0.037,0.030,7273.178,473.338,-20529.531,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.791,932.510,93.708,74.578,940.169,0.256,0.037,0.030,7282.507,474.332,-20530.142,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.801,932.510,93.708,74.579,940.169,0.256,0.037,0.030,7291.836,475.327,-20530.753,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.811,932.510,93.709,74.579,940.169,0.256,0.037,0.030,7301.165,476.322,-20531.364,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.821,932.510,93.709,74.580,940.169,0.256,0.037,0.030,7310.494,477.317,-20531.975,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.831,932.510,93.709,74.581,940.169,0.256,0.037,0.030,7319.823,478.312,-20532.586,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.841,932.510,93.710,74.581,940.169,0.256,0.037,0.030,7329.152,479.306,-20533.197,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.851,932.510,93.710,74.582,940.169,0.256,0.037,0.030,7338.481,480.301,-20533.808,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.861,932.510,93.710,74.582,940.170,0.256,0.037,0.030,7347.810,481.296,-20534.419,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.871,932.510,93.710,74.582,940.170,0.256,0.037,0.030,7357.139,482.291,-20535.029,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.881,932.510,93.711,74.583,940.170,0.256,0.037,0.030,7366.468,483.286,-20535.640,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.891,932.510,93.711,74.583,940.170,0.256,0.037,0.030,7375.796,484.282,-20536.251,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.901,932.510,93.711,74.583,940.170,0.256,0.037,0.030,7385.125,485.277,-20536.861,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.911,932.510,93.712,74.584,940.170,0.256,0.037,0.030,7394.454,486.272,-20537.472,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.921,932.510,93.712,74.584,940.170,0.256,0.037,0.030,7403.783,487.267,-20538.082,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.931,932.510,93.712,74.584,940.170,0.256,0.037,0.030,7413.112,488.263,-20538.692,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.941,932.510,93.712,74.584,940.170,0.255,0.037,0.030,7422.441,489.258,-20539.302,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.951,932.510,93.713,74.584,940.170,0.255,0.037,0.030,7431.770,490.253,-20539.913,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.961,932.510,93.713,74.584,940.170,0.255,0.037,0.030,7441.099,491.249,-20540.523,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.971,932.510,93.713,74.584,940.170,0.255,0.037,0.030,7450.428,492.244,-20541.133,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.981,932.510,93.714,74.583,940.170,0.255,0.037,0.030,7459.757,493.240,-20541.743,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
7.991,932.510,93.714,74.583,940.170,0.255,0.037,0.030,7469.086,494.236,-20542.353,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
8.001,932.510,93.714,74.583,940.170,0.255,0.037,0.030,7478.415,495.231,-20542.962,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
8.011,932.510,93.714,74.583,940.170,0.255,0.037,0.030,7487.744,496.227,-20543.572,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
8.021,932.510,93.715,74.582,940.170,0.255,0.037,0.030,7497.072,497.223,-20544.182,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
8.031,932.510,93.715,74.582,940.170,0.255,0.037,0.030,7506.401,498.219,-20544.792,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
8.041,932.510,93.715,74.582,940.170,0.255,0.037,0.030,7515.730,499.214,-20545.401,0.000,0.037,-0.401,-0.294,0.327,0.410,0.047,0.100
